model,feature_set,N,Mean,Median,SD,Q1,Q3,IQR
RandomForest,combined,29,0.9576,0.9893,0.0672,0.9412,0.9952,0.054
RandomForest,desc,29,0.9311,0.9769,0.1446,0.9351,0.9935,0.0584
RandomForest,morgan,37,0.955,0.9784,0.0646,0.9395,0.9954,0.0559
XGBoost,combined,29,0.9544,0.9893,0.0691,0.9387,0.9959,0.0572
XGBoost,desc,29,0.9433,0.9884,0.1016,0.9311,0.9949,0.0638
XGBoost,morgan,37,0.9375,0.9701,0.0938,0.9051,0.9948,0.0897
