analysis,r,p
AUROC ~ log(n_train),0.23508610657781878,0.0008565061098717778
AUROC ~ scaffold_count,0.18343126713171223,0.009688579465172115
AUROC ~ tanimoto_dist,-0.003642610924951645,0.9593799317127345
AUROC ~ scaffold (partial),-0.028716084907111278,0.6879816861639532
